Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,percentage
0,4,0,0,0,0,2,4,5,87.50,"8750,00%"
1,4,1,5,1,1,2,3,4,88.00,"8800,00%"
1,4,4,1,4,1,2,5,3,40.00,"4000,00%"
0,4,0,0,0,0,2,5,4,77.00,"7700,00%"
1,4,2,3,2,1,3,4,4,71.00,"7100,00%"
0,4,0,0,0,0,2,4,3,75.00,"7500,00%"
0,4,0,0,0,0,4,6,6,90.00,"9000,00%"
1,4,3,3,3,1,2,3,3,65.00,"6500,00%"
1,4,1,3,2,1,2,4,3,65.00,"6500,00%"
1,5,4,1,3,1,3,5,4,100,"10000,00%"
0,5,2,5,2,1,4,5,3,100,"10000,00%"
1,5,2,4,2,1,3,4,2,100,"10000,00%"
1,5,2,4,3,1,4,2,4,100,"10000,00%"
1,5,3,4,1,1,2,4,4,90.50,"9050,00%"
0,5,0,0,0,0,3,3,4,100,"10000,00%"
1,5,4,1,5,1,1,4,3,80.00,"8000,00%"
1,5,2,1,2,1,2,5,3,85.00,"8500,00%"
0,5,1,5,1,1,4,6,6,100,"10000,00%"
0,5,1,3,1,1,3,5,3,100,"10000,00%"
0,5,2,3,3,1,4,4,4,100,"10000,00%"
1,5,2,5,3,1,3,4,3,85.00,"8500,00%"
1,5,3,4,1,1,4,4,4,90.00,"9000,00%"
1,5,0,0,0,0,3,4,5,85.00,"8500,00%"
1,5,4,1,4,1,3,4,4,100,"10000,00%"
0,5,4,2,3,1,4,5,3,80.00,"8000,00%"
0,5,0,0,0,0,4,4,4,90.00,"9000,00%"
0,5,3,3,2,1,2,3,3,100,"10000,00%"
0,5,1,2,1,1,3,4,4,96.50,"9650,00%"
0,5,2,4,3,1,3,4,4,85.00,"8500,00%"
0,5,0,0,0,0,2,5,4,100,"10000,00%"
0,5,0,0,0,0,2,4,4,100,"10000,00%"
1,5,0,0,0,0,3,6,5,98.00,"9800,00%"
0,5,3,5,2,1,4,6,5,100,"10000,00%"
1,5,3,1,4,1,2,4,3,92.00,"9200,00%"
1,5,4,4,2,1,2,5,4,90.00,"9000,00%"
0,5,3,3,1,1,3,4,4,85.00,"8500,00%"
0,5,1,5,2,1,4,5,4,85.00,"8500,00%"
0,5,0,0,0,0,2,5,4,100,"10000,00%"
1,5,1,3,2,1,2,5,5,72.50,"7250,00%"
1,5,3,3,2,1,4,4,4,85.00,"8500,00%"
0,6,1,5,2,1,4,4,4,100,"10000,00%"
1,6,2,1,2,1,4,5,5,100,"10000,00%"
1,6,1,4,1,1,4,2,2,100,"10000,00%"
1,6,4,5,5,1,4,3,3,85.00,"8500,00%"
1,6,0,0,0,0,3,2,4,100,"10000,00%"
0,6,2,3,1,1,2,3,3,75.00,"7500,00%"
1,6,2,5,2,1,4,2,2,100,"10000,00%"
1,6,3,5,3,1,4,0,6,100,"10000,00%"
1,6,4,1,4,1,1,4,4,100,"10000,00%"
0,6,0,0,0,0,3,4,5,100,"10000,00%"
1,6,4,3,3,1,4,6,4,100,"10000,00%"
1,6,3,2,3,1,3,6,6,100,"10000,00%"
1,6,4,5,5,1,4,4,4,70.00,"7000,00%"
1,6,3,5,2,1,3,6,5,100,"10000,00%"
1,6,0,0,0,0,3,5,3,100,"10000,00%"
0,6,0,0,0,0,3,5,4,100,"10000,00%"
1,6,3,2,2,1,4,6,6,100,"10000,00%"
1,6,1,5,2,1,4,6,5,100,"10000,00%"
1,6,3,1,3,1,3,5,5,100,"10000,00%"
0,6,0,0,0,0,4,6,5,90,"9000,00%"
1,6,3,5,2,1,2,4,4,100,"10000,00%"
0,7,0,0,0,0,0,4,4,95.00,"9500,00%"
1,7,1,2,1,1,0,5,3,100,"10000,00%"
0,7,3,2,1,1,0,5,5,100,"10000,00%"
0,7,3,2,2,1,0,4,3,85.00,"8500,00%"
1,7,2,5,1,1,0,4,5,90.00,"9000,00%"
0,7,0,0,0,0,0,4,4,100,"10000,00%"
0,7,0,0,0,0,0,5,4,90.00,"9000,00%"
1,7,0,0,0,0,0,5,5,100,"10000,00%"
1,7,1,5,1,1,0,5,5,100,"10000,00%"
1,7,1,5,1,1,0,4,4,86.00,"8600,00%"
0,7,3,2,1,1,0,5,5,90.00,"9000,00%"
1,7,3,5,3,1,0,3,3,90.00,"9000,00%"
1,7,3,5,1,1,0,5,5,100,"10000,00%"
1,7,3,4,3,1,0,5,5,100,"10000,00%"
0,7,1,2,2,1,0,4,4,95.00,"9500,00%"
1,7,2,2,1,1,0,5,5,100,"10000,00%"
1,7,3,2,3,1,0,3,3,100,"10000,00%"
0,7,0,0,0,0,0,5,4,100,"10000,00%"
0,7,0,0,0,0,0,6,6,100,"10000,00%"
0,7,2,5,3,1,0,4,5,100,"10000,00%"
1,7,1,4,1,1,0,6,6,100,"10000,00%"
1,7,2,3,2,1,0,5,4,90.00,"9000,00%"
1,7,2,4,3,1,0,5,5,100,"10000,00%"
1,7,2,3,3,1,0,4,2,85.00,"8500,00%"
1,7,1,4,1,1,0,5,5,100,"10000,00%"
0,7,0,0,0,0,0,4,4,100,"10000,00%"
1,7,1,5,1,1,0,3,2,100,"10000,00%"
0,7,0,0,0,0,0,5,6,100,"10000,00%"
0,7,0,0,0,0,0,5,5,100,"10000,00%"
1,7,0,0,0,0,0,4,3,95.00,"9500,00%"
1,7,4,5,3,1,0,4,4,100,"10000,00%"
1,7,1,3,1,1,0,2,2,100,"10000,00%"
0,7,4,5,1,1,0,5,5,100,"10000,00%"
1,7,0,0,0,0,0,4,5,98.00,"9800,00%"
1,7,1,5,1,1,0,4,4,97.00,"9700,00%"
0,7,0,0,0,0,0,5,5,100,"10000,00%"
1,7,1,4,2,1,0,4,4,100,"10000,00%"
0,7,0,0,0,0,0,6,6,100,"10000,00%"
0,7,0,0,0,0,0,5,5,90.00,"9000,00%"
1,7,4,5,3,1,0,4,4,97.00,"9700,00%"
0,7,0,0,0,0,0,5,3,97.00,"9700,00%"
1,8,0,0,0,0,1,3,3,75.00,"7500,00%"
1,8,1,1,1,1,2,4,3,65.00,"6500,00%"
0,8,1,5,1,1,1,4,2,56.00,"5600,00%"
1,8,3,4,3,1,2,3,2,50.00,"5000,00%"
1,8,3,2,2,1,3,3,3,72.00,"7200,00%"
0,8,2,5,2,1,2,4,3,87.00,"8700,00%"
1,8,0,0,0,0,3,4,4,67.50,"6750,00%"
0,8,0,0,0,0,3,4,4,80.00,"8000,00%"
0,8,0,0,0,0,2,2,2,80.00,"8000,00%"
1,8,1,3,1,1,2,5,3,85.00,"8500,00%"
0,8,0,0,0,0,2,2,2,95.00,"9500,00%"
1,8,1,4,2,1,1,3,1,60.00,"6000,00%"
1,8,0,0,0,0,1,3,3,90.00,"9000,00%"
0,8,0,0,0,0,2,4,4,100,"10000,00%"
0,8,4,1,1,1,1,4,4,90.00,"9000,00%"
0,8,0,0,0,0,2,4,4,75.00,"7500,00%"
1,8,0,0,0,0,3,3,4,87.50,"8750,00%"
0,8,2,4,2,1,2,4,3,95.00,"9500,00%"
0,8,0,0,0,0,1,4,2,87.50,"8750,00%"
0,8,0,0,0,0,1,3,2,90.00,"9000,00%"
0,8,0,0,0,0,1,5,2,90.00,"9000,00%"
0,8,0,0,0,0,1,4,4,83.00,"8300,00%"
1,8,3,3,3,1,2,4,2,85.00,"8500,00%"
1,8,0,0,0,0,2,4,2,77.50,"7750,00%"
1,8,2,3,2,1,2,2,2,65.00,"6500,00%"
1,8,0,0,0,0,2,5,3,95.00,"9500,00%"
1,8,1,3,1,1,1,3,3,75.00,"7500,00%"
1,8,2,2,2,1,3,4,2,75.00,"7500,00%"
0,8,0,0,0,0,2,3,2,95.00,"9500,00%"
1,8,2,3,1,1,2,3,5,82.50,"8250,00%"
1,8,2,4,1,1,2,2,3,60.00,"6000,00%"
1,8,2,5,4,2,1,3,2,40.00,"4000,00%"
0,8,0,0,0,0,2,4,4,65.00,"6500,00%"
1,8,3,5,1,1,2,4,4,78.00,"7800,00%"
0,8,2,4,3,1,2,4,4,75.00,"7500,00%"
0,8,0,0,0,0,2,4,2,85.50,"8550,00%"
0,8,2,3,1,1,2,4,4,70.00,"7000,00%"
1,8,4,3,3,1,2,4,2,80.00,"8000,00%"
0,8,2,3,3,1,2,2,2,65.00,"6500,00%"
1,8,1,4,2,1,3,4,2,67.00,"6700,00%"
1,8,2,2,2,1,3,5,5,50.00,"5000,00%"
1,8,1,2,2,1,1,3,2,50.00,"5000,00%"
1,8,2,5,1,1,1,2,2,33.00,"3300,00%"
1,8,1,4,1,1,1,5,3,90.00,"9000,00%"
1,8,3,5,2,1,1,4,2,85.30,"8530,00%"
0,8,1,1,1,1,2,4,2,52.00,"5200,00%"
0,8,0,0,0,0,2,4,3,53.00,"5300,00%"
0,8,1,4,1,1,2,4,4,70.00,"7000,00%"
0,8,0,0,0,0,2,4,4,70.50,"7050,00%"
1,8,1,4,2,1,2,4,3,70.00,"7000,00%"
1,8,1,5,2,1,4,2,1,49.53,"4953,00%"
1,8,1,2,2,1,2,4,4,68.00,"6800,00%"
1,8,2,1,2,1,2,4,4,50.00,"5000,00%"
0,8,0,0,0,0,2,2,2,80.50,"8050,00%"
1,8,2,3,2,1,2,2,2,72.10,"7210,00%"
1,8,2,3,3,1,1,2,3,40.00,"4000,00%"
1,8,2,2,1,1,2,3,3,80.33,"8033,00%"
0,8,2,3,3,1,2,0,3,90.00,"9000,00%"
1,8,3,1,3,1,2,4,4,92.50,"9250,00%"
0,8,1,5,1,1,2,4,3,92.50,"9250,00%"
1,8,3,1,4,1,4,5,4,60.00,"6000,00%"
1,8,2,5,3,1,3,4,5,56.50,"5650,00%"
1,8,4,2,4,1,2,4,4,95.00,"9500,00%"
0,8,0,0,0,0,1,4,2,92.00,"9200,00%"
0,8,0,0,0,0,2,3,4,75.00,"7500,00%"
1,8,2,3,2,1,2,2,3,65.00,"6500,00%"
1,8,1,5,1,1,1,2,1,80.00,"8000,00%"
0,8,3,5,1,1,1,4,2,90.00,"9000,00%"
0,8,0,0,0,0,1,3,4,95.00,"9500,00%"
1,8,0,0,0,0,1,4,2,80.00,"8000,00%"
0,8,2,5,1,1,2,3,1,70.00,"7000,00%"
1,8,2,3,2,1,1,3,3,55.00,"5500,00%"
0,8,1,5,1,1,1,4,3,72.50,"7250,00%"
1,8,1,1,4,1,1,3,3,55.00,"5500,00%"
0,8,0,0,0,0,1,4,4,96.00,"9600,00%"
0,8,0,0,0,0,2,4,4,72.00,"7200,00%"
0,8,0,0,0,0,2,3,2,80.00,"8000,00%"
0,8,3,2,1,1,3,5,4,80.00,"8000,00%"
0,8,2,5,1,1,2,4,6,100,"10000,00%"
0,8,0,0,0,0,1,2,2,75.00,"7500,00%"
1,8,0,0,0,0,3,3,4,94.50,"9450,00%"
1,8,0,0,0,0,1,3,1,60.00,"6000,00%"
0,8,0,0,0,0,1,2,4,90.00,"9000,00%"
0,8,0,0,0,0,1,3,2,50.00,"5000,00%"
1,8,0,0,0,0,1,3,4,75.00,"7500,00%"
1,8,0,0,0,0,1,2,2,60.00,"6000,00%"
1,8,0,0,0,0,2,3,4,80.00,"8000,00%"
1,8,0,0,0,0,2,4,2,50.00,"5000,00%"
0,8,0,0,0,0,1,5,2,85.00,"8500,00%"
0,8,0,0,0,0,2,2,4,89.00,"8900,00%"
0,8,0,0,0,0,2,3,2,85.00,"8500,00%"
0,8,1,5,1,1,1,3,2,80.00,"8000,00%"
0,8,0,0,0,0,2,3,3,95.00,"9500,00%"
1,8,1,1,1,1,4,4,4,70.00,"7000,00%"
0,8,3,1,3,1,3,2,3,65.00,"6500,00%"
0,8,0,0,0,0,1,3,2,45.00,"4500,00%"
1,8,0,0,0,0,2,4,5,60.00,"6000,00%"
1,8,3,4,4,1,1,2,3,85.00,"8500,00%"
0,8,0,0,0,0,3,3,3,75.60,"7560,00%"
1,8,2,1,3,1,3,5,5,79.80,"7980,00%"
1,8,2,5,2,1,2,2,4,70.00,"7000,00%"
0,8,0,0,0,0,1,2,2,88.00,"8800,00%"
1,8,0,0,0,0,2,2,2,74.00,"7400,00%"
1,8,2,5,1,1,3,4,4,80.00,"8000,00%"
0,8,2,3,2,1,2,3,2,60.00,"6000,00%"
0,8,0,0,0,0,1,1,1,75.00,"7500,00%"
0,8,0,0,0,0,1,3,4,85.00,"8500,00%"
1,8,3,1,3,1,2,5,5,79.00,"7900,00%"
1,8,3,1,4,1,2,6,4,90.00,"9000,00%"
0,8,2,4,3,1,2,4,3,87.00,"8700,00%"
1,8,1,1,1,1,1,5,2,55.00,"5500,00%"
0,8,0,0,0,0,3,3,4,98.00,"9800,00%"
1,8,1,4,1,1,2,5,4,80.00,"8000,00%"
1,8,0,0,0,0,1,4,2,67.00,"6700,00%"
1,8,2,1,4,1,2,4,3,75.00,"7500,00%"
1,8,1,1,1,1,2,2,3,75.00,"7500,00%"
1,8,3,3,2,1,1,2,3,90.00,"9000,00%"
0,8,2,2,2,1,2,4,3,67.50,"6750,00%"
1,9,0,0,0,0,0,4,3,100,"10000,00%"
0,9,0,0,0,0,0,4,4,80.00,"8000,00%"
1,9,0,0,0,0,0,6,6,100,"10000,00%"
0,9,1,5,1,1,0,4,3,100,"10000,00%"
0,9,0,0,0,0,0,6,6,100,"10000,00%"
0,9,0,0,0,0,0,5,3,85.00,"8500,00%"
0,9,0,0,0,0,0,5,6,100,"10000,00%"
0,9,0,0,0,0,0,5,5,100,"10000,00%"
0,9,0,0,0,0,0,5,5,100,"10000,00%"
1,9,4,5,3,1,0,5,5,100,"10000,00%"
1,9,2,4,2,1,0,5,5,90.00,"9000,00%"
0,9,2,4,2,1,0,5,5,100,"10000,00%"
0,9,0,0,0,0,0,4,3,100,"10000,00%"
0,9,0,0,0,0,0,5,3,100,"10000,00%"
0,9,0,0,0,0,0,6,6,100,"10000,00%"
0,9,0,0,0,0,0,5,6,100,"10000,00%"
0,9,0,0,0,0,0,6,6,100,"10000,00%"
0,9,0,0,0,0,0,5,5,100,"10000,00%"
0,9,2,5,2,1,0,6,6,100,"10000,00%"
0,9,0,0,0,0,0,5,5,85.00,"8500,00%"
1,9,3,5,1,1,0,5,5,100,"10000,00%"
1,9,4,4,3,1,0,5,5,100,"10000,00%"
1,9,2,5,1,1,0,5,4,80.00,"8000,00%"
1,9,4,2,2,1,0,6,5,100,"10000,00%"
1,9,0,0,0,0,0,3,3,100,"10000,00%"
0,9,0,0,0,0,0,3,4,100,"10000,00%"
1,9,1,4,1,1,0,5,5,100,"10000,00%"
0,9,0,0,0,0,0,5,5,90.00,"9000,00%"
0,9,1,5,1,1,0,4,4,100,"10000,00%"
0,9,0,0,0,0,0,5,5,100,"10000,00%"
0,9,2,2,1,1,0,5,4,80.00,"8000,00%"
0,9,1,1,1,1,0,5,5,100,"10000,00%"
1,9,4,1,2,1,0,3,3,60.00,"6000,00%"
1,9,1,3,1,1,0,4,4,100,"10000,00%"
0,9,2,5,1,1,0,3,3,60.00,"6000,00%"
0,9,0,0,0,0,0,4,4,100,"10000,00%"
0,9,0,0,0,0,0,5,4,100,"10000,00%"
0,9,3,4,1,1,0,5,5,100,"10000,00%"
0,9,0,0,0,0,0,4,4,100,"10000,00%"
1,9,3,5,3,1,0,5,5,85.00,"8500,00%"
1,9,3,1,2,1,0,5,5,70.00,"7000,00%"
1,9,1,1,4,1,0,5,5,100,"10000,00%"
0,9,0,0,0,0,0,4,4,100,"10000,00%"
1,9,2,3,2,1,0,6,6,98.50,"9850,00%"
0,9,0,0,0,0,0,4,4,100,"10000,00%"
1,9,0,0,0,0,0,5,5,100,"10000,00%"
1,9,4,1,2,1,0,5,4,100,"10000,00%"
1,9,4,5,5,1,0,5,6,100,"10000,00%"
0,10,0,0,0,0,2,4,4,80.00,"8000,00%"
0,10,0,0,0,0,2,4,3,84.00,"8400,00%"
0,10,0,0,0,0,1,4,4,95.33,"9533,00%"
0,10,4,3,1,1,2,4,2,87.00,"8700,00%"
0,10,1,5,1,1,4,4,2,90.00,"9000,00%"
0,10,1,5,1,1,1,3,4,45.00,"4500,00%"
0,10,0,0,0,0,2,4,2,90.00,"9000,00%"
0,10,4,3,1,1,1,3,4,65.00,"6500,00%"
0,10,0,0,0,0,2,5,2,100,"10000,00%"
0,10,1,5,1,1,3,6,5,98.00,"9800,00%"
0,10,0,0,0,0,1,3,1,63.00,"6300,00%"
0,10,1,3,1,1,2,3,3,70.00,"7000,00%"
0,10,0,0,0,0,2,3,4,75.00,"7500,00%"
0,10,0,0,0,0,4,4,5,80.00,"8000,00%"
0,10,0,0,0,0,3,3,3,62.00,"6200,00%"
0,10,0,0,0,0,3,4,2,80.00,"8000,00%"
0,10,0,0,0,0,2,4,4,67.00,"6700,00%"
1,10,2,5,2,1,4,3,3,72.50,"7250,00%"
1,10,0,0,0,0,1,2,3,46.50,"4650,00%"
1,10,3,5,3,1,1,3,4,80.00,"8000,00%"
1,10,3,3,3,1,3,5,5,90.00,"9000,00%"
1,10,3,5,5,1,3,5,4,90.00,"9000,00%"
1,10,4,1,2,1,3,4,2,63.00,"6300,00%"
1,10,3,4,1,1,3,3,3,70.00,"7000,00%"
1,10,3,5,2,1,1,4,3,77.00,"7700,00%"
1,10,3,4,3,1,2,3,4,96.00,"9600,00%"
1,10,1,2,3,1,2,5,4,70.00,"7000,00%"
1,10,2,3,1,1,2,5,5,62.00,"6200,00%"
1,10,4,4,3,1,1,5,2,50.00,"5000,00%"
1,10,4,3,2,1,3,5,5,76.00,"7600,00%"
0,10,0,0,0,0,1,3,3,91.00,"9100,00%"
1,10,2,2,2,1,2,4,2,92.00,"9200,00%"
1,11,1,5,1,1,1,2,4,75.00,"7500,00%"
1,11,2,5,3,1,2,1,2,95.50,"9550,00%"
0,11,1,4,1,1,3,4,2,50.00,"5000,00%"
0,11,1,5,1,1,1,2,2,75.50,"7550,00%"
0,11,4,1,2,1,2,4,4,80.00,"8000,00%"
0,11,2,4,1,1,2,4,3,80.00,"8000,00%"
0,11,1,5,2,1,2,4,4,85.00,"8500,00%"
1,11,4,1,1,1,1,2,2,65.00,"6500,00%"
1,11,4,1,3,1,3,4,5,90.00,"9000,00%"
0,11,0,0,0,0,2,3,1,70.00,"7000,00%"
0,11,0,0,0,0,3,3,2,90.00,"9000,00%"
1,11,4,1,3,1,2,4,3,85.00,"8500,00%"
0,11,4,1,5,1,2,2,2,80.00,"8000,00%"
0,11,3,3,2,1,1,2,3,85.00,"8500,00%"
0,11,3,3,2,1,2,4,2,85.00,"8500,00%"
0,11,1,3,1,1,1,2,4,65.00,"6500,00%"
1,11,4,1,2,1,1,3,2,65.00,"6500,00%"
0,11,4,1,4,1,1,2,2,60.50,"6050,00%"
1,11,2,1,2,1,2,3,3,63.00,"6300,00%"
1,11,4,1,3,1,2,3,2,55.00,"5500,00%"
1,8,4,1,5,1,1,2,3,66.00,"6600,00%"
1,8,1,4,1,1,2,4,4,85.00,"8500,00%"
1,8,1,3,2,1,2,3,4,97.00,"9700,00%"
0,8,2,2,1,1,3,3,4,85.00,"8500,00%"
1,8,0,0,0,0,2,3,4,82.20,"8220,00%"
0,8,0,0,0,0,3,5,3,75.00,"7500,00%"
0,8,1,5,1,1,1,5,2,81.00,"8100,00%"
0,8,4,1,2,1,3,3,4,83.50,"8350,00%"
1,8,4,1,2,1,4,3,3,70.00,"7000,00%"
1,8,2,4,2,1,2,3,1,80.00,"8000,00%"
0,8,0,0,0,0,3,4,4,65.00,"6500,00%"
1,8,4,1,3,1,2,4,3,75.00,"7500,00%"
0,8,0,0,0,0,2,3,3,75.00,"7500,00%"
0,8,2,4,1,1,2,4,4,65.00,"6500,00%"
1,4,2,5,1,1,2,4,3,60.00,"6000,00%"
0,4,1,4,2,1,1,2,2,60.50,"6050,00%"
0,4,4,4,2,1,2,3,3,55.30,"5530,00%"
1,4,4,5,3,1,3,6,4,70.00,"7000,00%"
1,4,3,4,3,1,1,3,3,55.00,"5500,00%"
1,4,4,3,4,1,2,3,2,70.00,"7000,00%"
1,4,3,1,4,1,3,3,4,60.00,"6000,00%"
0,4,1,5,2,1,2,2,2,60.00,"6000,00%"
1,4,4,2,5,1,4,4,4,60.00,"6000,00%"
1,4,0,0,0,0,2,2,2,70.00,"7000,00%"
1,4,4,2,5,1,2,4,5,60.00,"6000,00%"
0,4,3,5,1,1,1,4,4,55.50,"5550,00%"
0,4,0,0,0,0,2,4,4,70.00,"7000,00%"
0,4,4,5,3,1,2,6,4,65.00,"6500,00%"
1,4,2,4,1,1,2,4,3,78.00,"7800,00%"
0,4,4,1,2,1,1,4,4,61.00,"6100,00%"
0,4,0,0,0,0,2,5,5,70.50,"7050,00%"
0,4,0,0,0,0,2,5,4,72.00,"7200,00%"
0,4,1,1,1,1,2,6,3,92.50,"9250,00%"
1,4,2,5,1,1,1,3,4,65.00,"6500,00%"
1,4,1,1,3,1,3,6,4,64.00,"6400,00%"
0,4,0,0,0,0,1,5,3,85.00,"8500,00%"
1,4,1,5,2,1,3,6,5,79.00,"7900,00%"
0,4,0,0,0,0,1,4,2,86.00,"8600,00%"
1,8,1,1,5,1,2,2,4,88.00,"8800,00%"
1,8,4,1,2,1,4,3,4,70.00,"7000,00%"
1,8,3,1,4,1,2,2,2,89.00,"8900,00%"
0,8,0,0,0,0,1,4,3,90.00,"9000,00%"
1,8,4,1,5,1,1,2,2,70.00,"7000,00%"
1,8,4,3,3,1,2,3,3,75.00,"7500,00%"
0,8,0,0,0,0,2,3,3,75.00,"7500,00%"
1,8,3,4,3,1,1,4,4,40.00,"4000,00%"
1,2,2,1,3,1,1,2,1,55.00,"5500,00%"
1,2,0,0,0,0,1,2,1,45.00,"4500,00%"
1,2,1,4,1,1,2,4,3,87.00,"8700,00%"
1,2,4,1,5,1,2,4,3,82.00,"8200,00%"
0,5,1,5,2,1,3,4,3,100,"10000,00%"
1,5,4,2,1,1,2,4,4,100,"10000,00%"
0,5,0,0,0,0,0,0,0,100,"10000,00%"
1,1,0,0,0,0,3,5,4,60.00,"6000,00%"
1,1,0,0,0,0,2,3,2,64.75,"6475,00%"
1,1,2,2,5,1,2,2,1,50.00,"5000,00%"
0,2,1,4,1,1,1,4,4,70.00,"7000,00%"
0,2,2,5,4,1,2,4,3,45.50,"4550,00%"
0,2,3,3,3,1,2,2,2,57.00,"5700,00%"
1,2,1,3,3,1,2,4,2,89.00,"8900,00%"
1,2,3,3,3,1,1,4,2,50.00,"5000,00%"
0,2,0,0,0,0,2,3,3,94.00,"9400,00%"
1,2,1,4,2,1,2,3,4,85.00,"8500,00%"
1,2,1,2,4,1,1,3,3,67.50,"6750,00%"
1,9,2,5,1,1,2,5,5,100,"10000,00%"
0,4,2,1,3,1,4,5,4,75.00,"7500,00%"
0,4,2,1,3,1,2,4,4,77.00,"7700,00%"
0,9,2,5,2,1,0,5,5,100,"10000,00%"